State,TotalPop,Men,Women,Citizen,cluster,createdAt
Alabama,4830620,2341093,2489527,3620994,NO_SCORE,2022-02-28 23:51:11
Alaska,733375,384160,349215,523946,NO_SCORE,2022-01-30 07:12:36
Arizona,6641928,3299088,3342840,4526594,NO_SCORE,2022-01-21 14:50:07
Arkansas,2958208,1451913,1506295,2164083,NO_SCORE,2022-01-06 02:30:11
California,38421464,19087135,19334329,24280349,NO_SCORE,2022-01-15 20:56:25
Colorado,5278906,2648667,2630239,3750953,NO_SCORE,2022-01-22 07:00:23
Connecticut,3593222,1751607,1841615,2574178,NO_SCORE,2022-02-26 23:43:19
Delaware,926454,448413,478041,681606,NO_SCORE,2022-01-27 03:07:41
District of Columbia,647484,306674,340810,485116,NO_SCORE,2022-01-15 19:22:08
Florida,19645772,9600009,10045763,13933052,NO_SCORE,2022-02-02 07:36:06
Georgia,10006693,4883331,5123362,6978660,NO_SCORE,2022-02-04 05:28:33
Hawaii,1406214,709829,696385,1001649,NO_SCORE,2022-02-13 23:25:17
Idaho,1616547,810464,806083,1130550,NO_SCORE,2022-02-02 21:49:11
Illinois,12873761,6316899,6556862,8979999,NO_SCORE,2022-03-08 15:57:37
Indiana,6568645,3235263,3333382,4801113,NO_SCORE,2022-01-03 12:08:29
Iowa,3093526,1534595,1558931,2285126,NO_SCORE,2022-02-08 07:34:03
Kansas,2892987,1439862,1453125,2053919,NO_SCORE,2022-01-18 23:38:34
Kentucky,4397353,2164208,2233145,3297108,NO_SCORE,2022-03-11 10:51:24
Louisiana,4625253,2261156,2364097,3410634,NO_SCORE,2022-03-13 20:49:58
Maine,1329100,650081,679019,1048274,NO_SCORE,2022-03-06 07:50:32
Maryland,5930538,2872643,3057895,4182241,NO_SCORE,2022-01-22 09:37:07
Massachusetts,6705586,3249650,3455936,4850598,NO_SCORE,2022-02-01 00:56:57
Michigan,9900571,4861973,5038598,7380136,NO_SCORE,2022-02-01 07:01:27
Minnesota,5419171,2692166,2727005,3950807,NO_SCORE,2022-01-04 18:02:19
Mississippi,2988081,1451723,1536358,2210424,NO_SCORE,2022-02-21 22:52:16
Missouri,6045448,2964003,3081445,4525035,NO_SCORE,2022-01-03 15:09:05
Montana,1014699,510163,504536,781250,NO_SCORE,2022-02-18 10:49:58
Nebraska,1869365,929606,939759,1333860,NO_SCORE,2022-01-15 22:32:19
Nevada,2798636,1407735,1390901,1863799,NO_SCORE,2022-03-09 16:03:42
New Hampshire,1324201,653484,670717,1020130,NO_SCORE,2022-03-02 20:33:50
New Jersey,8904413,4343027,4561386,6053893,NO_SCORE,2022-01-26 13:44:32
New Mexico,2084117,1032414,1051703,1457632,NO_SCORE,2022-02-07 06:03:10
New York,19673174,9541801,10131373,13531404,NO_SCORE,2022-03-11 06:14:36
North Carolina,9845333,4795408,5049925,7107998,NO_SCORE,2022-03-11 18:39:45
North Dakota,721640,367963,353677,546486,NO_SCORE,2022-01-09 15:54:19
Ohio,11575977,5662893,5913084,8709050,NO_SCORE,2022-03-07 08:16:10
Oklahoma,3849733,1906944,1942789,2768561,NO_SCORE,2022-01-24 00:00:53
Oregon,3939233,1948453,1990780,2867670,NO_SCORE,2022-02-03 08:54:13
Pennsylvania,12779559,6245344,6534215,9710416,NO_SCORE,2022-01-22 21:58:31
Puerto Rico,3583073,1713860,1869213,2726223,NO_SCORE,2022-02-25 02:39:35
Rhode Island,1053661,510388,543273,776565,NO_SCORE,2022-02-14 08:48:02
South Carolina,4777576,2322409,2455167,3566508,NO_SCORE,2022-02-04 08:52:09
South Dakota,843190,423477,419713,621770,NO_SCORE,2022-03-07 17:09:50
Tennessee,6499615,3167756,3331859,4828366,NO_SCORE,2022-02-10 01:58:21
Texas,26538497,13171242,13367255,16864864,NO_SCORE,2022-02-14 10:00:01
Utah,2903379,1459229,1444150,1868008,NO_SCORE,2022-01-13 03:42:49
Vermont,626604,308573,318031,493124,NO_SCORE,2022-02-19 05:33:59
Virginia,8256630,4060948,4195682,5948625,NO_SCORE,2022-01-01 01:16:51
Washington,6985464,3487725,3497739,4937212,NO_SCORE,2022-01-07 15:36:05
West Virginia,1851420,913631,937789,1455848,NO_SCORE,2022-01-06 23:53:29
Wisconsin,5742117,2851385,2890732,4294321,NO_SCORE,2022-01-28 18:04:54
Wyoming,579679,295561,284118,430026,NO_SCORE,2022-02-22 08:13:06
